Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
        Crop establishment,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1725,3137,1749,2681,1698,3599,1423,2223,1289,2220,1737,2231
        Crop care and maintenance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,819,1079,898,1135,731,1015,521,852,543,789,471,997
        Harvesting and threshing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7144,3959,7380,4191,6884,3705,7329,3904,7484,3918,6964,3904
        Post-harvest labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,906,859,880,977,934,713,1056,893,1024,889,1131,912
        Permanent hired labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1535,2594,1810,2770,1232,2373,2375,3287,2781,3290,1420,3121
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,106,3,17,42,151,11,62,6,39,24,96
        Land preparation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,775,1231,484,722,1096,1564,1082,1769,816,1467,1709,2234
        Crop establishment,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,400,649,202,300,618,838,523,787,452,758,688,841
        Crop care and maintenance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1285,1413,1089,1268,1502,1542,1537,1820,1224,1517,2275,2244
        Harvesting and threshing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,63,475,90,566,0,...
        Post-harvest labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,74,207,65,182,96,258
 Power,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,785,1273,830,1498,735,978,317,563,392,631,140,291
 Total Labor and Power Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,19032,,18550,,19566,,20093,,19673,,21080,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1634,1435,1448,1385,1839,1474,1832,1443,1857,1356,1772,1651
      Irrigation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,556,1247,1058,1564,0,...,563,1684,803,1965,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,166,206,154,203,180,211,174,223,139,121,257,355
      Land tax,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,214,1633,406,2244,0,...,0,...,0,...,0,...
      Land rent,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4367,5392,4649,5382,4055,5435,4985,5332,6247,5517,2015,3396
      Other inputs,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,918,584,896,630,942,533,1105,509,1107,457,1100,622
      Interest on capital,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,545,1481,459,433,640,2108,345,603,435,675,134,300
 Total Other Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8399,,9069,,7657,,9004,,10588,,5277,
Total Cost of Production,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,42984,,43414,,42508,,42234,,43778,,38602,
NET RETURNS,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-2142,,-1381,,-2968,,2847,,3740,,998,
Cost/kg,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,13.14,,13.01,,13.28,,12.03,,12.13,,11.75,
Net Profit Cost Ratio,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-0.05,,-0.03,,-0.07,,0.07,,0.09,,0.03,
Net Profit from Rice Farming,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-2142,,-1381,,-2968,,2847,,3740,,998,
"Net Profit from Rice Farming + Returns
 to Own Labor",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,338,,397,,289,,6138,,6393,,5790,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4705,,5046,,4345,,11123,,12640,,7805,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5250,,5505,,4985,,11468,,13076,,7939,
Iloilo,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 88),,(n = 41),,(n = 47),,(n = 38),,(n = 22),,(n = 16),,(n = 116),,(n = 62),,(n = 54),,(n = 58),,(n = 29),,(n = 29),,(n = 232),,(n = 110),,(n = 122),,(n = 136),,(n = 98),,(n = 38),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),0.71,0.52,0.66,0.44,0.76,0.57,0.73,0.5,0.57,0.41,0.95,0.55,0.88,0.72,1.04,0.89,0.69,0.35,0.76,0.63,0.83,0.77,0.69,0.46,0.95,0.99,1.17,1.3,0.75,0.53,0.97,0.84,1.1,0.95,0.66,0.32
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),2980,1218,3297,1076,2704,1277,2024,1481,2153,1759,1847,1009,3177,1422,3392,1555,2930,1221,2808,1079,3026,1233,2590,867,3201,1659,3525,1725,2908,1545,2559,1040,2607,1079,2433,930
   Price (₱/kg),8.03,0.9,8.44,0.85,7.68,0.79,8.98,1.1,9.34,1.26,8.47,0.52,12.23,1.39,12.9,1.33,11.47,1.02,12.85,0.83,12.91,0.83,12.8,0.84,13.61,1.88,13.93,1.83,13.31,1.88,13.54,1.71,13.61,1.68,13.37,1.78
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,23935,,27815,,20760,,18166,,20115,,15642,,38862,,43746,,33608,,36098,,39070,,33150,,43547,,49125,,38701,,34646,,35482,,32522,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1693,817,1626,730,1751,891,1750,667,1809,679,1670,664,2498,897,2485,1034,2514,717,2542,867,2620,914,2463,826,3586,1953,3883,1806,3318,2047,4241,2119,4349,2033,3961,2331
      Fertilizer,4868,2566,5234,2995,4549,2105,4990,3088,5978,3548,3632,1578,5920,2637,5987,2585,5844,2718,6031,2759,6611,2879,5450,2551,7430,5969,7958,4558,6954,6987,5716,3333,5820,3047,5450,4011
      Herbicides,722,702,725,774,719,641,691,857,984,994,289,363,1019,753,901,634,1155,857,1033,637,1056,722,1010,552,1219,1012,1246,902,1194,1105,1027,655,1032,667,1013,629
      Insecticides,701,546,694,457,708,619,533,499,707,486,294,422,1079,807,930,841,1250,738,1098,862,939,832,1258,876,1191,1191,1393,1337,1008,1014,1135,890,1187,975,1004,613
      Fungicides,15,86,6,37,22,112,6,38,0,...,15,58,152,346,215,416,81,225,39,141,18,71,59,185,135,425,127,381,143,463,140,439,82,209,292,746
      Other pesticides,208,505,214,508,203,508,163,317,262,382,26,95,238,392,220,345,258,442,373,380,375,360,370,405,488,652,639,755,352,508,503,357,544,352,397,352
 Total Material Costs,8206,,8498,,7952,,8133,,9739,,5925,,10907,,10737,,11102,,11115,,11620,,10610,,14049,,15247,,12969,,12763,,13013,,12116,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,2,23,0,...,5,32,0,...,0,...,0,...,3,37,6,51,0,...,0,...,0,...,0,...,60,308,93,408,31,169,13,109,0,...,47,204
        Land preparation,1588,1482,1521,1356,1646,1596,1315,1450,1364,1663,1248,1142,2101,1916,1511,1581,2779,2053,2853,1877,3011,2049,2695,1710,3082,3318,2593,2595,3524,3812,3391,2746,3595,2905,2865,2238
        Crop establishment,243,754,439,1027,73,309,188,710,290,927,48,69,433,1036,642,1353,193,338,85,151,93,154,78,150,1331,3686,1450,3360,1225,3968,421,886,463,887,313,885
        Crop care and maintenance,289,795,435,882,161,696,496,1537,843,1965,19,60,150,382,73,261,239,472,250,535,225,574,275,503,755,2926,1250,4132,310,732,549,1501,656,1727,274,546
        Harvesting and threshing,3598,1799,3906,1770,3329,1800,2841,2164,3122,2496,2454,1598,6669,3151,7303,3550,5941,2453,5408,2387,5808,2733,5008,1948,7466,4173,8034,4380,6954,3925,6148,4656,6546,5362,5121,1491
        Post-harvest labor,266,294,307,290,229,296,556,745,456,741,695,752,501,418,485,437,518,397,676,434,746,450,606,414,1142,987,1258,1051,1038,917,966,1187,1064,1292,712,822
        Permanent hired labor,486,1345,635,1605,357,1069,483,1833,668,2356,228,634,510,1420,813,1757,162,770,498,1907,412,1089,585,2490,980,2466,993,2530,969,2418,711,2251,959,2606,71,304
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,5,22,9,29,2,11,7,42,12,55,0,...,28,135,53,182,0,...,0,...,0,...,0,...,68,304,72,293,63,315,0,...,0,...,0,...
        Land preparation,572,526,508,493,627,553,576,658,719,785,378,366,1031,1143,875,883,1210,1370,1016,1295,1113,1382,919,1218,2260,3859,1865,2361,2617,4811,1334,1652,1122,1561,1883,1775
        Crop establishment,49,58,34,29,61,73,378,484,509,511,197,391,210,303,157,248,271,348,108,93,116,112,99,69,424,565,383,551,460,577,228,367,178,309,358,466
        Crop care and maintenance,790,618,775,737,804,499,1009,661,1108,716,871,570,875,1062,860,1188,892,908,1845,2496,2922,3121,767,729,1807,2099,2021,2010,1614,2165,1326,1981,1395,2264,1149,913
        Harvesting and threshing,13,84,27,122,0,...,161,381,268,474,14,56,36,156,44,185,27,114,12,49,20,63,5,28,43,235,21,124,62,302,19,97,4,20,59,176
        Post-harvest labor,14,32,19,43,10,18,277,212,340,222,190,166,35,59,44,67,24,48,66,145,64,189,67,86,0,...,0,...,0,...,53,215,42,215,83,214
 Power,18,98,18,112,18,85,171,429,115,372,249,500,729,914,848,1029,591,747,830,842,990,1004,669,618,1699,1982,1897,2114,1521,1846,691,1059,700,1062,670,1064
 Total Labor and Power Costs,7932,,8633,,7321,,8458,,9815,,6592,,13311,,13715,,12847,,13646,,15519,,11773,,21118,,21929,,20387,,15852,,16723,,13605,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,1441,1233,1633,1402,1274,1051,1434,1384,1641,1603,1149,990,1337,1023,1222,974,1468,1071,1515,944,1429,990,1601,905,4211,5084,4038,6190,4366,3844,2055,2001,1968,2003,2277,2004
      Irrigation,17,84,36,121,0,...,352,962,382,726,310,1241,238,599,446,763,0,...,556,1284,1113,1647,0,...,806,1685,1701,2117,0,...,495,990,687,1109,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,314,368,254,342,384,388,266,352,191,217,341,440,192,131,191,138,194,124,235,212,201,168,322,281
      Land tax,238,598,412,787,87,296,279,582,464,710,25,100,519,667,655,606,364,706,179,259,163,257,195,264,115,624,124,811,107,389,43,293,0,...,155,544
      Land rent,3898,8666,4775,12226,3132,3280,1364,2218,843,2225,2080,2062,7743,3855,8126,3243,7304,4447,7502,4399,7901,5208,7103,3455,4411,6707,5797,7223,3161,5963,2623,3583,2810,3552,2141,3667
      Other inputs,177,226,149,211,201,239,68,142,67,136,70,154,658,1065,571,749,757,1341,747,1655,790,1270,705,1990,1007,566,1098,561,925,559,824,363,842,364,778,363
      Interest on capital,8,14,5,12,10,15,6,11,1,5,11,14,768,1359,560,1092,1007,1589,666,1201,865,1319,466,1056,615,2095,1127,2941,154,365,68,209,83,244,30,20
 Total Other Costs,5779,,7011,,4705,,3502,,3398,,3645,,11577,,11833,,11284,,11431,,12451,,10411,,11357,,14076,,8907,,6343,,6591,,5702,
Total Cost of Production,21918,,24142,,19977,,20094,,22952,,16163,,35795,,36285,,35233,,36192,,39590,,32794,,46524,,51251,,42262,,34957,,36328,,31423,
NET RETURNS,2018,,3674,,783,,-1927,,-2838,,-521,,3067,,7461,,-1625,,-94,,-520,,356,,-2977,,-2127,,-3561,,-311,,-846,,1098,
Cost/kg,7.35,,7.32,,7.39,,9.93,,10.66,,8.75,,11.27,,10.7,,12.03,,12.89,,13.08,,12.66,,14.54,,14.54,,14.53,,13.66,,13.93,,12.92,
Net Profit Cost Ratio,0.09,,0.15,,0.04,,-0.1,,-0.12,,-0.03,,0.09,,0.21,,-0.05,,0,,-0.01,,0.01,,-0.06,,-0.04,,-0.08,,-0.01,,-0.02,,0.03,
Net Profit from Rice Farming,2018,,3674,,783,,-1927,,-2838,,-521,,3067,,7461,,-1625,,-94,,-520,,356,,-2977,,-2127,,-3561,,-311,,-846,,1098,
"Net Profit from Rice Farming + Returns
 to Own Labor",3460,,5045,,2287,,480,,120,,1130,,5282,,9493,,799,,2952,,3716,,2214,,1624,,2236,,1255,,2650,,1894,,4630,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",7357,,9820,,5419,,1844,,963,,3210,,13025,,17619,,8103,,10454,,11616,,9316,,6035,,8033,,4416,,5273,,4704,,6771,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",7365,,9826,,5429,,1849,,964,,3221,,13794,,18179,,9110,,11120,,12482,,9782,,6650,,9160,,4570,,5341,,4787,,6801,
Negros Occidental,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
   Price (₱/kg),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Fertilizer,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Herbicides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Insecticides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Fungicides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Other pesticides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 Total Material Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Land preparation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Crop establishment,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Crop care and maintenance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Harvesting and threshing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Post-harvest labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Permanent hired labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Land preparation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Crop establishment,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Crop care and maintenance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Harvesting and threshing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
        Post-harvest labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 Power,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 Total Labor and Power Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Irrigation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Land tax,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Land rent,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Other inputs,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
      Interest on capital,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 Total Other Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Total Cost of Production,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
NET RETURNS,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Cost/kg,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Net Profit Cost Ratio,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Net Profit from Rice Farming,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Bohol,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 75),,(n = 22),,(n = 53),,(n = 41),,(n = 26),,(n = 15),,(n = 81),,(n = 33),,(n = 48),,(n = 86),,(n = 32),,(n = 54),,(n = 130),,(n = 52),,(n = 78),,(n = 156),,(n = 58),,(n = 98),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),0.6,0.82,0.85,1.4,0.5,0.34,0.54,0.73,0.54,0.76,0.52,0.7,0.4,0.3,0.4,0.39,0.41,0.23,0.45,0.62,0.45,0.95,0.46,0.31,0.52,0.36,0.54,0.33,0.5,0.38,0.46,0.26,0.53,0.3,0.43,0.22
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),2022,1140,3135,1232,1561,705,2204,1283,2946,969,917,482,2311,1191,3072,1056,1788,984,2577,965,3569,652,1989,545,2183,1225,2491,1110,1978,1262,2484,2213,2434,1151,2513,2655
   Price (₱/kg),11.93,0.54,11.93,0.44,11.94,0.58,11.82,0.83,11.92,0.76,11.65,0.96,13.75,0.8,13.29,0.8,14.07,0.63,14.69,1.95,14.19,1.86,14.99,1.95,15.57,2.34,15.35,2.14,15.72,2.46,16.24,2.27,16.52,2.19,16.07,2.3
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,24136,,37387,,18632,,26054,,35125,,10684,,31784,,40844,,25151,,37858,,50638,,29814,,34003,,38231,,31106,,40327,,40202,,40388,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,527,264,647,262,478,251,532,173,511,178,569,164,1039,542,1048,700,1032,408,1018,720,938,397,1066,857,1845,1537,2034,1477,1719,1572,1748,1728,1315,1109,2004,1968
      Fertilizer,1271,1833,827,1234,1455,2012,2986,2628,4030,2354,1176,2074,4051,3386,5731,3902,2897,2409,4507,3528,6480,4071,3338,2555,4832,2890,5135,3205,4630,2662,5772,4626,4743,2797,6381,5347
      Herbicides,23,75,15,60,26,81,0,...,0,...,0,...,62,186,1,7,103,234,48,138,2,13,75,169,177,629,34,104,273,795,104,276,32,123,147,329
      Insecticides,321,646,400,843,288,551,70,98,53,96,99,99,186,283,147,292,213,277,293,360,257,434,314,311,836,1187,767,1527,881,901,570,588,327,384,713,640
      Fungicides,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,33,10,54,0,...,18,148,0,...,31,191,27,229,3,18,41,288
